Month,Year,LowTemp,HighTemp,WarmestMin,ColdestHigh,AveMin,AveMax,meanTemp,TotPrecip,Max24hrPrecip
1,1947,23,78,68,34,44.8,59.6,52.2,4.39,0.54
2,1947,29,78,54,43,38.3,59.4,48.9,1.09,0.37
3,1947,29,82,62,44,45.5,66.4,55.9,2.79,1.22
4,1947,45,88,71,63,60.2,78.6,69.4,2.02,0.68
5,1947,58,94,75,73,65.5,85.2,75.4,8.54,3.85
6,1947,67,97,78,80,72.1,91.1,81.6,1.74,0.72
7,1947,66,98,76,86,72.3,92.7,82.5,2.17,1.3
8,1947,69,103,76,82,72.9,92.2,82.5,8.86,2.31
9,1947,55,99,75,80,69,91,80,1.29,0.74
10,1947,58,94,68,82,63.5,86.6,75.1,1.91,1.53
11,1947,36,86,69,52,49.2,68.9,59.1,4.58,1.28
12,1947,29,80,65,44,45.7,64.4,55,3.82,1.22
1,1948,22,78,59,32,36.7,55.5,46.1,4.54,1.33
2,1948,31,84,60,37,46.4,63.4,54.9,4.11,1.27
3,1948,26,87,68,37,52.3,71.1,61.7,1.94,0.7
4,1948,50,94,73,71,60.6,82.1,71.4,2.19,1.01
5,1948,55,92,74,77,66.7,86.7,76.7,5.35,2.4
6,1948,61,97,78,88,71.5,93.2,82.3,3.59,1.77
7,1948,69,101,77,86,74.1,94.4,84.2,2.74,0.98
8,1948,70,101,76,85,73.7,95.4,84.6,2.48,1.09
9,1948,53,97,74,74,67.7,87,77.4,2.74,2.17
10,1948,40,91,65,68,57.3,82,69.6,0.92,0.87
11,1948,34,86,64,58,49.2,71.7,60.5,7.23,4.19
12,1948,31,82,70,49,48.5,69.4,59,1.37,0.65
1,1949,10,80,65,29,43.6,61.4,52.5,4.76,1.59
2,1949,27,82,67,43,51.5,66.6,59.1,5.24,1.18
3,1949,41,85,68,53,53.6,71.4,62.5,4.43,1
4,1949,44,88,71,57,56.6,75.5,66,6.17,1.78
5,1949,59,98,75,80,68.7,87.3,78,1.18,0.32
